play_id,game_id,season,week,season_type,home_team,away_team,play_deleted,touchdown,pass_touchdown,rush_touchdown,return_touchdown,interception,fumble,fumble_lost,kickoff_attempt,punt_attempt,punt_blocked,field_goal_attempt,extra_point_attempt,two_point_attempt,defensive_two_point_conv,defensive_extra_point_conv,safety,special,special_teams_play,play_type,play_type_nfl,posteam,defteam,td_team,td_player_id,return_team,fumble_recovery_1_team,fumble_recovery_2_team,fumbled_1_team,fumbled_2_team,field_goal_result,extra_point_result,two_point_conv_result,st_play_type,posteam_score,defteam_score,posteam_score_post,defteam_score_post
2866,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,CLE,PIT,CLE,00-0038098,,,,,,,,,,14,19,20,19
2891,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,run,PAT2,CLE,PIT,,,,,,,,,,success,,20,19,22,19
2904,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,kickoff,KICK_OFF,PIT,CLE,,,PIT,,,,,,,,,19,22,19,22
2932,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,PIT,CLE,,,,,,,,,,,,19,22,19,22
2955,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,PIT,CLE,,,,,,,,,,,,19,22,19,22
2980,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,SACK,PIT,CLE,,,,,,,,,,,,19,22,19,22
3000,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,PIT,CLE,,,,,,,,,,,,19,22,19,22
3028,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,PIT,CLE,,,,,,,,,,,,19,22,19,22
3060,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,punt,PUNT,PIT,CLE,,,CLE,,,,,,,,,19,22,19,22
3082,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,CLE,PIT,,,,,,,,,,,,22,19,22,19
